organization_name,founded_year,hq_city,employee_count,ceo_name,stock_symbol
Plambee,1960,"Hospitalet De Llobregat, L'",32175,Piotr Skerratt,TTM
Photojam,1820,Río Blanquito,26656,Fawn Arunowicz,HIHO
Dynabox,1957,Staraya Russa,41000,Piper Nunan,AFB
Omba,1876,Vologda,31881,Emeline Cruess,NBRV
Realfire,1949,Cotmon,3743,Junie Paddemore,CYAD
Yambee,1985,Basicao Coastal,93308,Lilly Dunsmuir,SPI
Vimbo,2014,Affery,89270,Guinna Richfield,CFI
Flashdog,1896,Ipoh,34908,Hardy Drinkeld,MSBI
Tagpad,2005,Komsomol’s’ke,21759,Selig Barnsdale,FCT
Zoovu,1843,Pavino,6382,Rebeka Creber,KLXI
Fatz,1900,Jiuchenggong,20831,Aleksandr Volette,VGR
Tavu,1821,Messina,93778,Ly Dunrige,PWR
Yoveo,1800,Fujishiro,331,Gerta Laflin,KONE
Quaxo,1830,Belo,59819,Shayne Piccard,MDWD
Tagfeed,1962,Amboise,99532,Anton Winward,SRAX
Fivespan,1831,Lille,57050,Stevy Spottiswood,NYMX
Vipe,1812,Tanjungbahagia,85028,Lucais Reye,JMU
Trupe,1968,Mahébourg,76919,Kellsie Mennell,UNT
Eimbee,1882,Chating,40919,Lewes Nucciotti,DRIOW
Fivebridge,1909,Kayakent,72093,Ernestus Anan,RVSB
Livetube,1905,Oslo,37318,Shandy Benitez,MNDO
Teklist,1909,Khadzhalmakhi,30506,Cybill McKellen,COH
Devbug,1955,Xiangrong,57541,Allie Reeds,NTNX
Myworks,1800,Stanowice,39118,Meir Freake,NAC
Tagopia,1824,Lau,23195,Tandi Sowerbutts,HSEB
Twitterwire,2004,Beckerich,82600,Maximilian Laible,LFUS
Thoughtstorm,1941,Lyon,1722,Nicolis Albrook,PYS
Dazzlesphere,1933,Aheloy,88792,Bambi Bavister,SPAN
Topicware,1868,Algarrobo,12320,Yolanda Bodega,GF
Flashspan,1937,Wissous,33254,Carlotta Littlewood,OMI
Bubbletube,1840,Majalengka,43014,Benjamin Cavalier,MTX
Dabfeed,1804,Casilda,80360,Zonnya McEvoy,ZIONW
Tagfeed,1880,Czemierniki,90830,Olly Eldrid,TANH
Photobug,1881,Qingxi,93237,Anderson Gibbie,NOK
Babblestorm,1923,Calamba,95418,Tessa Husk,LYTS
Eidel,1810,Sukhobuzimskoye,41828,Laurianne Grover,LTC
Meezzy,1821,Laborde,33156,Homer Groomebridge,JOF
Aimbo,1988,Bueng Khong Long,4843,Stesha Bend,LMHB
Voonder,1911,Iralaya,15042,Rod Lannon,AEG
Realpoint,1952,Kalipare,17794,Charisse Titchener,SITE
Demivee,1901,Buštěhrad,10632,Brandi Paschek,SEDG
Feedfish,1861,Oyam,88738,Willi Skeeles,MTBCP
Jetwire,1859,Yongchang,93159,Laurene Seaward,NOAH
Pixonyx,1873,Siyang,96054,Kristien Stores,VTWG
Thoughtblab,1842,Sundbyberg,41374,Jacintha Haydock,OHI
Feedbug,1975,Kushikino,88120,Ilse Braunle,RIBTW
Fivespan,1906,Fenglin,51405,Nil Gavey,DYNT
Demivee,1993,Aktau,49667,Cally Chalfain,TOUR
Bluejam,1992,Perbaungan,48200,Sara Raywood,SBS
Skinte,1903,Valleymount,6112,Lucilia Bellefant,CASH
Tagtune,1900,Arnhem,53821,Rhonda Antonin,INCY
Realbridge,1890,Longlou,7992,Inigo Gutman,CASH
Yambee,1915,Kokofata,74640,Laure Easman,NVS
Eabox,1846,Xinzhai,97725,Alexander Tottman,CTU
Twitternation,2018,Gapluk,48432,Drusi Foro,PSB
Gigazoom,1965,Hà Đông,9620,Ashli Heppner,PNF
Yacero,1964,Karangpari,74894,Garrott Lambart,BK
Kwinu,1862,Hongguang,21458,Vance Titcombe,NEOG
Shuffletag,1992,Dengzishan,62539,Gannie Nash,PF
Devcast,1942,Manay,28851,Jean Greedyer,FRC^D
Eayo,1907,Lazaro Cardenas,6041,Spike Stollery,FRBK
Realfire,1858,Albacete,65626,Willow Gorry,SRNE
Zooxo,1804,Khorinsk,48973,Udall Rattenberie,FBNC
Gabvine,1855,Sridadi,57004,Barbara Sidwell,LILA
Skipfire,1904,Paranavaí,19214,Bernadette Gossart,BIOC
Photobug,1911,Weishan,4865,Braden Sperling,BOMN
Jetpulse,1893,Tagakpan,77975,Vivyan Grabiec,PRFZ
Midel,1923,Tawangsari,60536,Cornelle Bowcock,NLST
Ainyx,1908,Shuangshi,93501,Elfreda Woodford,USCR
Riffwire,1863,Novi Karlovci,77804,Ginger Sey,APDN
Aimbo,1817,Toumodi,88114,Jill Haddeston,FNSR
Gevee,1991,Uliastay,49933,Lexi Milam,CADE
Meemm,2011,Duifang,93816,Othilia Loughren,PYDS
Dabfeed,1848,Bagalangit,20604,Sherri Bedford,EVGN
Skajo,1831,Reinaldes,15803,Lizzie Habeshaw,GAIA
Flashspan,1903,Liuzikou,18922,Rosalind Sincock,Z
Skivee,1959,Quán Hành,87416,Barnabe McClosh,LGCYO
Trilia,2017,Suka Makmue,15178,Jerome Paeckmeyer,GNTX
Youtags,1886,Semenivka,97461,Amy Flecknell,ZBIO
Skinix,1855,Tamahú,35121,Sherman Grace,SNAK
Demimbu,1869,Tirlyanskiy,299,Tanitansy Jedrych,CHCI
Janyx,1976,Gujō,49847,Lenna Mathen,SOXX
Mita,1950,Wujingfu,67271,Rosco Giuron,TSLA
Vimbo,2009,Phú Lộc,60232,Kalindi Rathbourne,MNOV
Blogtags,1973,Entebbe,32964,Audrie Hatchard,ASFI
Roombo,1945,Hengshan,55804,Prentice Rosser,ZYME
Devbug,1894,Apalit,87625,Patrizius Anniwell,IBM
Devpoint,1904,Zhuangbian,63230,Daniela Tallyn,BRFS
Katz,2018,Talok,56399,Jilli Hembrow,VUZI
Meejo,1850,Lianhe,35989,Matilda Whiley,TISA
Oyondu,1907,Jianggang,5149,Valenka Diddams,ODP
